UniqueCount	AmbigCount
0	0
0	0
0	0
0	974
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
62	279
0	29
1	5
0	200
0	75
0	21
4	267
0	254
0	0
7	4
0	2239
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
689	630
0	47
56	192
0	115
0	109
0	199
0	184
1	119
0	52
1	36
0	0
0	0
0	0
0	0
35	944
0	745
6	332
0	251
1	28
1	10
2	25
2	58
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	35
35	37
0	6
1	2
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
0	0
0	0
0	0
0	0
0	352
0	0
0	0
0	0
0	0
0	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3916	1
2	0
14	518
33	504
1	35
0	71
2	452
0	17889
1	1
0	0
2	461
0	1252
0	1191
0	436
0	672
12	1061
2	236
0	220
1	6
6	63
0	55
4	102
1	24
0	24
0	1227
0	0
0	0
0	0
0	0
0	0
0	0
0	0
60	86
3	86
0	10
0	8
0	30
1499	123
0	44
30	3626
8	444
0	740
80	3639
0	2467
0	2274
0	460
2	863
1	137
0	61
3	59
3	136
2	173
0	159
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
2	4
0	3
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	23
1	78
0	0
0	77
0	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
3	1
0	14
1	1
1	0
4	292
0	44
2	271
0	24
0	16
0	291
0	0
2	291
0	0
0	0
0	0
0	0
0	963
0	891
0	746
13	810
0	680
38	792
1	705
0	138
12	67
0	93
1	158
6	122
0	156
0	0
0	433
456	485
3	430
1	400
0	36
0	66
0	0
0	324
640	523
0	228
0	219
0	0
0	3
0	0
0	0
1054	1930
10	1043
0	887
0	0
0	0
164	686
1	365
0	155
2	157
3	119
0	18
25	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	875
0	794
0	702
1	530
