UniqueCount	AmbigCount
0	0
0	0
0	0
0	130
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
107	799
1	82
0	0
0	549
0	188
1	36
0	767
0	732
0	0
1	0
0	55
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	5
0	1
0	4
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	164
0	122
3	63
0	49
0	3
0	0
0	4
0	7
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
39	33
0	4
1	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	8
0	3
0	6
0	0
0	5
1	2
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	2
0	3
0	3
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
255	0
1	0
2	47
3	43
0	1
0	4
0	42
0	1310
61	1
0	0
0	124
0	352
0	339
0	131
0	190
2	299
1	74
0	68
0	2
0	10
0	9
2	31
0	6
0	6
0	344
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	16
0	16
0	1
0	1
1	8
898	79
0	6
0	563
1	70
0	125
6	559
0	384
0	366
0	85
0	121
0	23
0	24
0	20
0	62
0	91
0	88
0	15
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
106	227
0	219
0	173
0	45
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	62
1	198
0	0
0	197
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	10
1	0
0	0
1	178
0	30
0	167
0	17
0	11
0	178
0	0
2	178
0	0
0	0
0	0
0	0
0	23
0	21
0	15
1	17
0	15
0	21
0	16
0	2
0	1
0	3
0	7
0	5
0	5
0	0
0	299
289	326
0	278
0	270
0	5
0	7
0	0
0	14
45	28
0	15
0	7
0	0
1	0
0	0
0	0
74	212
4	95
0	117
0	0
0	0
3	23
0	15
0	3
0	7
0	2
0	0
0	0
0	19
0	7
0	0
0	7
0	6
0	1
1	19
0	0
0	1
0	1
0	0
0	0
0	0
0	0
1	68
0	59
0	53
0	34
0	13
0	0
0	0
